url,posted_date,letter_date,company,issuing_office,subject
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/niqpouchescom-722530-01302026,02/10/2026,01/30/2026,niqpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bnc-distribution-inc-719765-12112025,02/10/2026,12/11/2025,BNC Distribution Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unomedical-device-sa-de-cv-719428-01082026,02/03/2026,01/08/2026,Unomedical Device S.A. de C.V.,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/abbott-diabetes-care-inc-722046-01232026,02/03/2026,01/23/2026,"Abbott Diabetes Care, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hto-nevada-inc-dba-kirkman-719074-01272026,02/03/2026,01/27/2026,"HTO Nevada, Inc. dba Kirkman",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/flextronics-america-llc-722180-01272026,02/03/2026,01/27/2026,Flextronics America LLC,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/carolina-seafood-inc-710510-08212025,02/03/2026,08/21/2025,Carolina Seafood Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/christopher-dale-butler-720334-01092026,02/03/2026,01/09/2026,Christopher Dale Butler,Human Foods Program,Acidified Foods/Emergency Permit Control/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cc-pollen-company-714784-01092026,02/03/2026,01/09/2026,CC Pollen Company,Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eniva-usa-inc-706565-09102025,02/03/2026,09/10/2025,"Eniva USA, Inc.",Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/great-smart-african-food-llc-721634-01152026,02/03/2026,01/15/2026,The Great Smart African Food LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP)
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gotpouchescom-722621-01302026,02/03/2026,01/30/2026,gotpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cohance-lifesciences-limited-718812-01302026,02/03/2026,01/30/2026,Cohance Lifesciences Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zip-foods-importers-inc-713379-01162026,01/27/2026,01/16/2026,"Zip Foods Importers, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
